cruise_line,cruise_ship,date,score
Royal Caribbean International,Monarch Of The Seas,10/8/1995,99
V. Ships Leisure U.S.A.,MV Yorktown,10/25/1995,96
Holland America Line,Ryndam,10/21/1995,89
Holland America Line,Statendam,10/22/1995,97
"Carnival Cruise Lines, Inc.",Carnival Fantasy,11/30/1995,88
Holland America Line,Maasdam,11/12/1995,90
"Carnival Cruise Lines, Inc.",Carnival Imagination,12/16/1995,94
Royal Caribbean International,Legend Of The Seas,12/6/1995,90
Celebrity Cruises,Celebrity Century,1/13/1996,100
"Crystal Cruises , Inc.",Crystal Symphony,1/17/1996,100
P&O Cruises,Oriana,1/30/1996,86
"Carnival Cruise Lines, Inc.",Carnival Imagination,2/3/1996,95
Royal Caribbean International,Majesty Of The Seas,2/18/1996,98
Royal Caribbean International,Monarch Of The Seas,2/24/1996,94
Holland America Line,Ryndam,2/2/1996,92
Holland America Line,Statendam,2/13/1996,86
Princess Cruises,Sun Princess,2/3/1996,97
Holland America Line,Maasdam,3/29/1996,94
Seabourn Cruise Line,Seabourn Spirit,3/28/1996,92
Silversea Cruises Ltd,Silver Wind,3/31/1996,89
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,4/15/1996,91
"Carnival Cruise Lines, Inc.",Carnival Fantasy,4/11/1996,91
"Carnival Cruise Lines, Inc.",Carnival Fascination,4/21/1996,97
"Carnival Cruise Lines, Inc.",Carnival Sensation,4/17/1996,93
Royal Caribbean International,Legend Of The Seas,4/11/1996,98
P&O Cruises,Oriana,4/18/1996,99
"Carnival Cruise Lines, Inc.",Carnival Inspiration,5/19/1996,97
V. Ships Leisure U.S.A.,MV Yorktown,5/28/1996,96
Lindblad Expeditions,Sea Lion,5/26/1996,95
Princess Cruises,Sun Princess,6/17/1996,91
Holland America Line,Veendam,6/22/1996,94
Celebrity Cruises,Celebrity Century,7/27/1996,90
Lindblad Expeditions,Sea Bird,7/3/1996,94
Seabourn Cruise Line,Seabourn Pride,7/2/1996,90
"Carnival Cruise Lines, Inc.",Carnival Imagination,8/3/1996,95
Royal Caribbean International,Majesty Of The Seas,8/25/1996,91
Holland America Line,Ryndam,8/20/1996,93
"Carnival Cruise Lines, Inc.",Carnival Fascination,9/22/1996,88
Royal Caribbean International,Monarch Of The Seas,9/21/1996,82
V. Ships Leisure U.S.A.,MV Yorktown,9/13/1996,97
Lindblad Expeditions,Sea Lion,9/11/1996,96
Seabourn Cruise Line,Seabourn Legend,9/27/1996,88
Holland America Line,Statendam,9/5/1996,97
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,10/18/1996,87
Hapag Lloyd Kreuzfahrten Gmbh,Hanseatic,10/7/1996,95
Royal Caribbean International,Monarch Of The Seas,10/27/1996,95
Holland America Line,Veendam,10/8/1996,94
"Carnival Cruise Lines, Inc.",Carnival Fantasy,11/10/1996,88
Holland America Line,Maasdam,11/3/1996,94
Silversea Cruises Ltd,Silver Cloud,11/19/1996,93
"Carnival Cruise Lines, Inc.",Carnival Inspiration,12/16/1996,93
"Carnival Cruise Lines, Inc.",Carnival Sensation,12/7/1996,94
"Carnival Cruise Lines, Inc.",Carnival Sunshine,12/15/1996,93
"Crystal Cruises , Inc.",Crystal Symphony,12/22/1996,95
Royal Caribbean International,Grandeur Of The Seas,12/18/1996,97
Royal Caribbean International,Legend Of The Seas,12/17/1996,93
Seabourn Cruise Line,Seabourn Pride,12/20/1996,89
"Carnival Cruise Lines, Inc.",Carnival Fascination,1/19/1997,96
Celebrity Cruises,Celebrity Century,1/21/1997,95
Royal Caribbean International,Monarch Of The Seas,1/20/1997,92
P&O Cruises,Oriana,1/29/1997,97
Holland America Line,Ryndam,1/22/1997,94
Silversea Cruises Ltd,Silver Cloud,1/4/1997,92
Holland America Line,Statendam,1/14/1997,83
Holland America Line,Veendam,1/23/1997,92
"Carnival Cruise Lines, Inc.",Carnival Fantasy,2/13/1997,90
"Carnival Cruise Lines, Inc.",Carnival Imagination,2/1/1997,93
Holland America Line,Maasdam,2/11/1997,81
Royal Caribbean International,Majesty Of The Seas,2/16/1997,85
Seabourn Cruise Line,Seabourn Legend,2/12/1997,92
Princess Cruises,Sun Princess,2/1/1997,96
"Carnival Cruise Lines, Inc.",Carnival Inspiration,3/2/1997,94
"Carnival Cruise Lines, Inc.",Carnival Sensation,3/25/1997,91
Holland America Line,Maasdam,3/23/1997,97
Seabourn Cruise Line,Seabourn Pride,3/21/1997,97
Holland America Line,Statendam,3/5/1997,98
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,4/4/1997,92
"Carnival Cruise Lines, Inc.",Carnival Sunshine,4/16/1997,94
Royal Caribbean International,Grandeur Of The Seas,4/9/1997,93
Royal Caribbean International,Majesty Of The Seas,4/13/1997,86
"Crystal Cruises , Inc.",Crystal Symphony,5/1/1997,95
Royal Caribbean International,Legend Of The Seas,5/23/1997,94
Lindblad Expeditions,Sea Lion,5/20/1997,91
"Carnival Cruise Lines, Inc.",Carnival Fascination,6/15/1997,74
"Carnival Cruise Lines, Inc.",Carnival Inspiration,6/28/1997,95
Princess Cruises,Dawn Princess,6/2/1997,96
Royal Caribbean International,Monarch Of The Seas,6/16/1997,98
"Carnival Cruise Lines, Inc.",Carnival Fantasy,7/10/1997,88
"Carnival Cruise Lines, Inc.",Carnival Fascination,7/20/1997,98
"Carnival Cruise Lines, Inc.",Carnival Imagination,7/19/1997,91
"Carnival Cruise Lines, Inc.",Carnival Inspiration,7/21/1997,97
V. Ships Leisure U.S.A.,MV Yorktown,7/7/1997,90
Royal Caribbean International,Rhapsody Of The Seas,7/2/1997,94
Holland America Line,Ryndam,7/27/1997,93
Lindblad Expeditions,Sea Bird,7/1/1997,96
Princess Cruises,Sun Princess,7/26/1997,97
Holland America Line,Veendam,7/23/1997,96
"Carnival Cruise Lines, Inc.",Carnival Sunshine,8/31/1997,90
Royal Caribbean International,Majesty Of The Seas,8/24/1997,93
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,9/29/1997,93
"Carnival Cruise Lines, Inc.",Carnival Sensation,9/27/1997,94
Princess Cruises,Dawn Princess,9/23/1997,93
Silversea Cruises Ltd,Silver Cloud,9/30/1997,94
Holland America Line,Statendam,9/9/1997,95
"Crystal Cruises , Inc.",Crystal Symphony,10/20/1997,97
Royal Caribbean International,Enchantment Of The Seas,10/23/1997,94
V. Ships Leisure U.S.A.,MV Yorktown,10/28/1997,94
Royal Caribbean International,Rhapsody Of The Seas,10/24/1997,91
Lindblad Expeditions,Sea Bird,10/23/1997,97
Lindblad Expeditions,Sea Lion,10/24/1997,97
Celebrity Cruises,Celebrity Century,11/22/1997,93
Holland America Line,Maasdam,11/4/1997,94
Royal Caribbean International,Grandeur Of The Seas,12/16/1997,87
Royal Caribbean International,Legend Of The Seas,12/17/1997,97
Holland America Line,Rotterdam,12/29/1997,98
Seabourn Cruise Line,Seabourn Pride,12/4/1997,93
"Carnival Cruise Lines, Inc.",Carnival Imagination,1/31/1998,95
"Carnival Cruise Lines, Inc.",Carnival Inspiration,1/11/1998,93
"Carnival Cruise Lines, Inc.",Carnival Sunshine,1/22/1998,87
