cruise_line,cruise_ship,date,score
"Carnival Cruise Lines, Inc.",Carnival Fascination,12/19/2003,96
Celebrity Cruises,Celebrity Century,12/16/2003,97
Club Med Marine,Club Med 2,12/1/2003,97
Princess Cruises,Dawn Princess,12/15/2003,90
Disney Cruise Lines,Disney Magic,12/6/2003,94
Princess Cruises,Island Princess,12/16/2003,100
Royal Caribbean International,Mariner Of The Seas,12/7/2003,97
"Mitsui O.S.K. Passenger Line, Ltd",Nippon Maru,12/31/2003,97
P&O Cruises,Oceana,12/2/2003,97
Holland America Line,Oosterdam,12/11/2003,97
Royal Caribbean International,Radiance Of The Seas,12/9/2003,96
Royal Caribbean International,Rhapsody Of The Seas,12/7/2003,99
Seabourn Cruise Line,Seabourn Legend,12/20/2003,97
Royal Caribbean International,Vision Of The Seas,12/21/2003,91
P&O Cruises,Aurora,1/31/2004,100
"Carnival Cruise Lines, Inc.",Carnival Imagination,1/24/2004,92
"Carnival Cruise Lines, Inc.",Carnival Inspiration,1/18/2004,99
"Carnival Cruise Lines, Inc.",Carnival Paradise,1/22/2004,94
"Carnival Cruise Lines, Inc.",Carnival Sunshine,1/19/2004,90
"Carnival Cruise Lines, Inc.",Carnival Triumph,1/20/2004,97
Celebrity Cruises,Celebrity Infinity,1/4/2004,98
Costa Crociere S.P.A.,Costa Atlantica,1/4/2004,98
Peter Deilmann Cruises,Deutschland,1/5/2004,94
Disney Cruise Lines,Disney Wonder,1/15/2004,94
Royal Caribbean International,Enchantment Of The Seas,1/10/2004,99
Princess Cruises,Grand Princess,1/11/2004,97
MSC Cruises (Mediterranean Shipping Company),MSC Lirica,1/26/2004,98
V. Ships Leisure U.S.A.,MV Yorktown,1/22/2004,96
Royal Caribbean International,Navigator Of The Seas,1/21/2004,98
Norwegian Cruise Lines,Norwegian Sun,1/25/2004,100
Holland America Line,Prinsendam,1/20/2004,90
Seabourn Cruise Line,Seabourn Pride,1/3/2004,93
Silversea Cruises Ltd,Silver Whisper,1/19/2004,100
Holland America Line,Veendam,1/17/2004,99
Royal Caribbean International,Voyager Of The Seas,1/25/2004,97
"Carnival Cruise Lines, Inc.",Carnival Glory,2/21/2004,100
"Carnival Cruise Lines, Inc.",Carnival Pride,2/1/2004,91
"Carnival Cruise Lines, Inc.",Carnival Sensation,2/7/2004,93
"Carnival Cruise Lines, Inc.",Carnival Spirit,2/11/2004,91
"Carnival Cruise Lines, Inc.",Carnival Victory,2/22/2004,99
Princess Cruises,Coral Princess,2/21/2004,98
Royal Caribbean International,Majesty Of The Seas,2/2/2004,96
Norwegian Cruise Lines,Norwegian Dawn,2/18/2004,100
Royal Caribbean International,Serenade Of The Seas,2/22/2004,91
Regent Seven Seas,Seven Seas Mariner,2/24/2004,99
Silversea Cruises Ltd,Silver Wind,2/10/2004,95
ResidenSea,The World,2/24/2004,92
Royal Caribbean International,Brilliance Of The Seas,3/29/2004,99
"Carnival Cruise Lines, Inc.",Carnival Miracle,3/6/2004,97
Celebrity Cruises,Celebrity Millennium,3/25/2004,94
"Crystal Cruises , Inc.",Crystal Symphony,3/22/2004,95
Norwegian Cruise Lines,Norwegian Star,3/21/2004,99
P&O Cruises,Oceana,3/23/2004,96
P&O Cruises,Oriana,3/13/2004,100
Cunard Line,Queen Mary 2,3/16/2004,89
Oceania Cruises,Regatta,3/15/2004,97
Holland America Line,Ryndam,3/13/2004,94
Seabourn Cruise Line,Seabourn Legend,3/13/2004,99
Regent Seven Seas,Seven Seas Navigator,3/30/2004,98
Princess Cruises,Sun Princess,3/10/2004,93
"Carnival Cruise Lines, Inc.",Carnival Legend,4/13/2004,99
Club Med Marine,Club Med 2,4/12/2004,94
Costa Crociere S.P.A.,Costa Atlantica,4/6/2004,98
Costa Crociere S.P.A.,Costa Mediterranea,4/4/2004,100
Princess Cruises,Diamond Princess,4/17/2004,99
Royal Caribbean International,Grandeur Of The Seas,4/17/2004,96
Royal Caribbean International,Legend Of The Seas,4/15/2004,93
Norwegian Cruise Lines,Norwegian Sky,4/5/2004,95
Sea Dream Yacht Club,Seadream I,4/11/2004,96
Sea Dream Yacht Club,Seadream II,4/11/2004,94
Regent Seven Seas,Seven Seas Voyager,4/13/2004,100
Holland America Line,Zaandam,4/3/2004,98
Royal Caribbean International,Adventure Of The Seas,5/3/2004,95
Holland America Line,Amsterdam,5/23/2004,97
Princess Cruises,Caribbean Princess,5/4/2004,100
"Carnival Cruise Lines, Inc.",Carnival Conquest,5/23/2004,99
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,5/10/2004,89
"Carnival Cruise Lines, Inc.",Carnival Fantasy,5/27/2004,96
Celebrity Cruises,Celebrity Infinity,5/18/2004,95
"Crystal Cruises , Inc.",Crystal Serenity,5/2/2004,96
Royal Caribbean International,Explorer Of The Seas,5/30/2004,94
Princess Cruises,Golden Princess,5/2/2004,97
Blount Small Ship Adventures,Grande Caribe,5/23/2004,92
Blount Small Ship Adventures,Grande Mariner,5/25/2004,92
Holland America Line,Maasdam,5/5/2004,89
Royal Caribbean International,Monarch Of The Seas,5/11/2004,94
MSC Cruises (Mediterranean Shipping Company),MSC Lirica,5/15/2004,95
MSC Cruises (Mediterranean Shipping Company),MSC Lirica,5/4/2004,85
V. Ships Leisure U.S.A.,MV Yorktown,5/29/2004,92
Norwegian Cruise Lines,Norwegian Spirit,5/22/2004,92
Princess Cruises,Pacific Princess,5/17/2004,98
Holland America Line,Rotterdam,5/16/2004,95
Un-Cruise Adventures,Safari Quest,5/29/2004,87
Lindblad Expeditions,Sea Bird,5/26/2004,94
Lindblad Expeditions,Sea Lion,5/25/2004,80
Holland America Line,Volendam,5/14/2004,90
Holland America Line,Zuiderdam,5/1/2004,98
"Carnival Cruise Lines, Inc.",Carnival Fascination,6/25/2004,91
"Carnival Cruise Lines, Inc.",Carnival Imagination,6/26/2004,94
"Carnival Cruise Lines, Inc.",Carnival Inspiration,6/6/2004,97
"Carnival Cruise Lines, Inc.",Carnival Paradise,6/10/2004,98
"Carnival Cruise Lines, Inc.",Carnival Sensation,6/7/2004,93
"Carnival Cruise Lines, Inc.",Carnival Sunshine,6/13/2004,95
"Carnival Cruise Lines, Inc.",Carnival Triumph,6/8/2004,95
Celebrity Cruises,Celebrity Century,6/14/2004,94
Princess Cruises,Dawn Princess,6/24/2004,95
Disney Cruise Lines,Disney Magic,6/5/2004,97
Disney Cruise Lines,Disney Wonder,6/13/2004,98
Royal Caribbean International,Enchantment Of The Seas,6/3/2004,97
Princess Cruises,Island Princess,6/15/2004,99
Royal Caribbean International,Mariner Of The Seas,6/6/2004,100
Norwegian Cruise Lines,Norwegian Sun,6/23/2004,97
Holland America Line,Oosterdam,6/14/2004,100
"Japan Cruise Line, Inc",Pacific Venus,6/30/2004,77
Cunard Line,Queen Mary 2,6/19/2004,92
Princess Cruises,Sapphire Princess,6/22/2004,92
Lindblad Expeditions,Sea Lion,6/26/2004,90
Silversea Cruises Ltd,Silver Shadow,6/12/2004,99
Royal Caribbean International,Voyager Of The Seas,6/18/2004,93
"Carnival Cruise Lines, Inc.",Carnival Elation,7/18/2004,97
"Carnival Cruise Lines, Inc.",Carnival Glory,7/24/2004,97
"Carnival Cruise Lines, Inc.",Carnival Spirit,7/21/2004,98
"Carnival Cruise Lines, Inc.",Carnival Victory,7/22/2004,94
Celebrity Cruises,Celebrity Summit,7/23/2004,99
Royal Caribbean International,Radiance Of The Seas,7/12/2004,97
Royal Caribbean International,Rhapsody Of The Seas,7/11/2004,93
Regent Seven Seas,Seven Seas Mariner,7/28/2004,96
Holland America Line,Statendam,7/25/2004,99
Princess Cruises,Sun Princess,7/14/2004,95
Holland America Line,Veendam,7/18/2004,97
Royal Caribbean International,Vision Of The Seas,7/30/2004,97
"Carnival Cruise Lines, Inc.",Carnival Pride,8/15/2004,83
Princess Cruises,Coral Princess,8/4/2004,97
Royal Caribbean International,Majesty Of The Seas,8/6/2004,90
Royal Caribbean International,Navigator Of The Seas,8/7/2004,97
Un-Cruise Adventures,Safari Quest,8/7/2004,88
Lindblad Expeditions,Sea Bird,8/8/2004,92
Regent Seven Seas,Seven Seas Navigator,8/24/2004,94
Holland America Line,Amsterdam,9/12/2004,95
P&O Cruises,Aurora,9/28/2004,100
"Carnival Cruise Lines, Inc.",Carnival Miracle,9/12/2004,97
"Carnival Cruise Lines, Inc.",Carnival Pride,9/26/2004,100
Celebrity Cruises,Celebrity Constellation,9/20/2004,99
"Crystal Cruises , Inc.",Crystal Symphony,9/21/2004,96
Peter Deilmann Cruises,Deutschland,9/30/2004,93
Princess Cruises,Diamond Princess,9/13/2004,95
Princess Cruises,Grand Princess,9/17/2004,94
Blount Small Ship Adventures,Grande Caribe,9/29/2004,94
Royal Caribbean International,Grandeur Of The Seas,9/13/2004,95
Royal Caribbean International,Jewel Of The Seas,9/29/2004,100
Royal Caribbean International,Legend Of The Seas,9/26/2004,97
Norwegian Cruise Lines,Norwegian Dawn,9/1/2004,100
Norwegian Cruise Lines,Norwegian Spirit,9/11/2004,94
Princess Cruises,Pacific Princess,9/22/2004,100
Princess Cruises,Sapphire Princess,9/14/2004,98
Seabourn Cruise Line,Seabourn Pride,9/19/2004,91
Royal Caribbean International,Serenade Of The Seas,9/15/2004,99
Silversea Cruises Ltd,Silver Shadow,9/10/2004,92
Princess Cruises,Caribbean Princess,10/2/2004,100
"Carnival Cruise Lines, Inc.",Carnival Fantasy,10/17/2004,83
Hapag Lloyd Kreuzfahrten Gmbh,Europa,10/10/2004,94
Holland America Line,Maasdam,10/23/2004,95
Royal Caribbean International,Monarch Of The Seas,10/29/2004,94
V. Ships Leisure U.S.A.,MV Yorktown,10/19/2004,93
Norwegian Cruise Lines,Norwegian Star,10/28/2004,99
Holland America Line,Rotterdam,10/22/2004,99
Holland America Line,Ryndam,10/30/2004,95
Silversea Cruises Ltd,Silver Whisper,10/29/2004,100
Princess Cruises,Star Princess,10/31/2004,99
Holland America Line,Zaandam,10/16/2004,97
Royal Caribbean International,Adventure Of The Seas,11/20/2004,96
Royal Caribbean International,Brilliance Of The Seas,11/22/2004,99
"Carnival Cruise Lines, Inc.",Carnival Conquest,11/14/2004,95
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,11/15/2004,92
"Carnival Cruise Lines, Inc.",Carnival Elation,11/14/2004,98
"Carnival Cruise Lines, Inc.",Carnival Fascination,11/8/2004,89
"Carnival Cruise Lines, Inc.",Carnival Inspiration,11/13/2004,96
"Carnival Cruise Lines, Inc.",Carnival Legend,11/19/2004,98
"Carnival Cruise Lines, Inc.",Carnival Sunshine,11/21/2004,95
Celebrity Cruises,Celebrity Century,11/16/2004,79
Costa Crociere S.P.A.,Costa Atlantica,11/28/2004,97
"Crystal Cruises , Inc.",Crystal Serenity,11/20/2004,100
Royal Caribbean International,Explorer Of The Seas,11/18/2004,90
Princess Cruises,Golden Princess,11/20/2004,98
Royal Caribbean International,Mariner Of The Seas,11/17/2004,100
Oceania Cruises,Regatta,11/27/2004,97
Seabourn Cruise Line,Seabourn Legend,11/21/2004,95
Holland America Line,Veendam,11/13/2004,96
Holland America Line,Volendam,11/19/2004,87
"Carnival Cruise Lines, Inc.",Carnival Fantasy,12/9/2004,95
"Carnival Cruise Lines, Inc.",Carnival Imagination,12/20/2004,92
"Carnival Cruise Lines, Inc.",Carnival Paradise,12/13/2004,93
"Carnival Cruise Lines, Inc.",Carnival Sensation,12/4/2004,87
"Carnival Cruise Lines, Inc.",Carnival Victory,12/5/2004,80
Celebrity Cruises,Celebrity Infinity,12/11/2004,96
Celebrity Cruises,Celebrity Millennium,12/19/2004,97
Costa Crociere S.P.A.,Costa Mediterranea,12/21/2004,92
Princess Cruises,Dawn Princess,12/23/2004,95
Disney Cruise Lines,Disney Magic,12/5/2004,94
"Mitsui O.S.K. Passenger Line, Ltd",Fuji Maru,12/28/2004,91
Princess Cruises,Island Princess,12/10/2004,99
Royal Caribbean International,Legend Of The Seas,12/1/2004,90
V. Ships Leisure U.S.A.,MV Explorer,12/8/2004,93
"Mitsui O.S.K. Passenger Line, Ltd",Nippon Maru,12/31/2004,97
Holland America Line,Prinsendam,12/18/2004,94
Cunard Line,Queen Mary 2,12/20/2004,94
Regent Seven Seas,Seven Seas Mariner,12/3/2004,91
Regent Seven Seas,Seven Seas Voyager,12/13/2004,99
Holland America Line,Westerdam,12/2/2004,100
"Carnival Cruise Lines, Inc.",Carnival Glory,1/8/2005,100
"Carnival Cruise Lines, Inc.",Carnival Spirit,1/4/2005,95
"Carnival Cruise Lines, Inc.",Carnival Valor,1/16/2005,95
"Carnival Cruise Lines, Inc.",Carnival Victory,1/30/2005,100
Celebrity Cruises,Celebrity Century,1/8/2005,97
Celebrity Cruises,Celebrity Constellation,1/21/2005,96
Celebrity Cruises,Celebrity Summit,1/16/2005,94
Club Med Marine,Club Med 2,1/17/2005,89
Princess Cruises,Coral Princess,1/7/2005,96
Disney Cruise Lines,Disney Wonder,1/9/2005,97
Royal Caribbean International,Enchantment Of The Seas,1/8/2005,96
Royal Caribbean International,Majesty Of The Seas,1/7/2005,98
MSC Cruises (Mediterranean Shipping Company),MSC Lirica,1/24/2005,98
Norwegian Cruise Lines,Norwegian Sun,1/15/2005,95
Holland America Line,Oosterdam,1/22/2005,100
Royal Caribbean International,Radiance Of The Seas,1/19/2005,99
Sea Dream Yacht Club,Seadream I,1/23/2005,97
Silversea Cruises Ltd,Silver Shadow,1/5/2005,97
Princess Cruises,Sun Princess,1/18/2005,98
Royal Caribbean International,Vision Of The Seas,1/23/2005,97
Holland America Line,Zuiderdam,1/15/2005,98
"Carnival Cruise Lines, Inc.",Carnival Triumph,2/5/2005,99
Costa Crociere S.P.A.,Costa Atlantica,2/6/2005,100
Royal Caribbean International,Grandeur Of The Seas,2/12/2005,95
Royal Caribbean International,Jewel Of The Seas,2/14/2005,99
Royal Caribbean International,Navigator Of The Seas,2/15/2005,97
Norwegian Cruise Lines,Norwegian Dawn,2/23/2005,99
P&O Cruises,Oceana,2/10/2005,98
"Japan Cruise Line, Inc",Pacific Venus,2/28/2005,86
Sea Dream Yacht Club,Seadream II,2/20/2005,99
Holland America Line,Statendam,2/25/2005,96
Royal Caribbean International,Voyager Of The Seas,2/9/2005,95
Royal Caribbean International,Brilliance Of The Seas,3/7/2005,95
"Carnival Cruise Lines, Inc.",Carnival Miracle,3/13/2005,99
"Carnival Cruise Lines, Inc.",Carnival Pride,3/30/2005,98
Celebrity Cruises,Celebrity Century,3/5/2005,96
Club Med Marine,Club Med 2,3/21/2005,92
Costa Crociere S.P.A.,Costa Mediterranea,3/29/2005,98
"Crystal Cruises , Inc.",Crystal Symphony,3/27/2005,97
Princess Cruises,Diamond Princess,3/26/2005,98
Princess Cruises,Grand Princess,3/19/2005,96
Oceania Cruises,Regatta,3/4/2005,92
Royal Caribbean International,Rhapsody Of The Seas,3/9/2005,97
Holland America Line,Rotterdam,3/20/2005,98
"Saga Shipping Company, Ltd",SagaRuby,3/14/2005,72
Seabourn Cruise Line,Seabourn Legend,3/20/2005,97
Seabourn Cruise Line,Seabourn Pride,3/15/2005,99
Royal Caribbean International,Serenade Of The Seas,3/26/2005,96
Regent Seven Seas,Seven Seas Navigator,3/28/2005,95
Princess Cruises,Caribbean Princess,4/12/2005,100
"Carnival Cruise Lines, Inc.",Carnival Conquest,4/17/2005,93
"Carnival Cruise Lines, Inc.",Carnival Fantasy,4/14/2005,97
"Carnival Cruise Lines, Inc.",Carnival Imagination,4/30/2005,87
"Carnival Cruise Lines, Inc.",Carnival Victory,4/5/2005,87
Celebrity Cruises,Celebrity Millennium,4/7/2005,99
Princess Cruises,Golden Princess,4/10/2005,99
Blount Small Ship Adventures,Grande Caribe,4/21/2005,95
Royal Caribbean International,Legend Of The Seas,4/10/2005,95
MSC Cruises (Mediterranean Shipping Company),MSC Lirica,4/22/2005,100
Cunard Line,Queen Mary 2,4/2/2005,93
Princess Cruises,Star Princess,4/6/2005,95
Holland America Line,Westerdam,4/3/2005,99
Holland America Line,Zaandam,4/13/2005,96
Holland America Line,Amsterdam,5/16/2005,92
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,5/12/2005,95
"Carnival Cruise Lines, Inc.",Carnival Fascination,5/16/2005,97
"Carnival Cruise Lines, Inc.",Carnival Inspiration,5/14/2005,98
"Carnival Cruise Lines, Inc.",Carnival Legend,5/21/2005,97
"Carnival Cruise Lines, Inc.",Carnival Sensation,5/26/2005,94
"Carnival Cruise Lines, Inc.",Carnival Sunshine,5/9/2005,93
Celebrity Cruises,Celebrity Infinity,5/1/2005,94
Princess Cruises,Dawn Princess,5/14/2005,93
Blount Small Ship Adventures,Grande Mariner,5/28/2005,90
Royal Caribbean International,Mariner Of The Seas,5/15/2005,100
Norwegian Cruise Lines,Norwegian Spirit,5/21/2005,98
Princess Cruises,Pacific Princess,5/17/2005,97
Holland America Line,Prinsendam,5/6/2005,92
Royal Caribbean International,Radiance Of The Seas,5/19/2005,95
Princess Cruises,Sapphire Princess,5/18/2005,97
Lindblad Expeditions,Sea Lion,5/20/2005,92
"Carnival Cruise Lines, Inc.",Carnival Spirit,6/24/2005,95
Disney Cruise Lines,Disney Magic,6/4/2005,95
Royal Caribbean International,Explorer Of The Seas,6/5/2005,98
Royal Caribbean International,Grandeur Of The Seas,6/3/2005,97
Holland America Line,Maasdam,6/11/2005,96
Royal Caribbean International,Monarch Of The Seas,6/3/2005,95
V. Ships Leisure U.S.A.,MV Yorktown,6/15/2005,91
Royal Caribbean International,Navigator Of The Seas,6/4/2005,99
Norwegian Cruise Lines,Norwegian Dawn,6/12/2005,97
Norwegian Cruise Lines,Norwegian Sun,6/22/2005,99
Holland America Line,Oosterdam,6/13/2005,95
"Japan Cruise Line, Inc",Pacific Venus,6/11/2005,94
Royal Caribbean International,Rhapsody Of The Seas,6/21/2005,98
Un-Cruise Adventures,Safari Quest,6/25/2005,94
Lindblad Expeditions,Sea Bird,6/26/2005,90
Regent Seven Seas,Seven Seas Mariner,6/27/2005,97
Princess Cruises,Sun Princess,6/17/2005,95
Royal Caribbean International,Vision Of The Seas,6/14/2005,98
"Carnival Cruise Lines, Inc.",Carnival Miracle,7/17/2005,98
"Carnival Cruise Lines, Inc.",Carnival Pride,7/24/2005,96
"Carnival Cruise Lines, Inc.",Carnival Triumph,7/21/2005,97
Celebrity Cruises,Celebrity Summit,7/22/2005,99
Princess Cruises,Diamond Princess,7/11/2005,99
Disney Cruise Lines,Disney Wonder,7/14/2005,99
Princess Cruises,Island Princess,7/13/2005,98
Royal Caribbean International,Majesty Of The Seas,7/15/2005,92
Norwegian Cruise Lines,Norwegian Star,7/12/2005,98
Holland America Line,Ryndam,7/17/2005,96
Royal Caribbean International,Serenade Of The Seas,7/14/2005,98
Silversea Cruises Ltd,Silver Discoverer,7/20/2005,96
Holland America Line,Statendam,7/22/2005,96
Holland America Line,Volendam,7/15/2005,98
Holland America Line,Zuiderdam,7/16/2005,99
Royal Caribbean International,Adventure Of The Seas,8/7/2005,97
"Carnival Cruise Lines, Inc.",Carnival Glory,8/27/2005,97
"Carnival Cruise Lines, Inc.",Carnival Paradise,8/22/2005,97
"Carnival Cruise Lines, Inc.",Carnival Valor,8/28/2005,98
Princess Cruises,Coral Princess,8/31/2005,97
Royal Caribbean International,Enchantment Of The Seas,8/4/2005,94
Blount Small Ship Adventures,Grande Caribe,8/30/2005,91
Blount Small Ship Adventures,Grande Mariner,8/3/2005,95
V. Ships Leisure U.S.A.,MV Explorer,8/21/2005,98
Norwegian Cruise Lines,Norwegian Spirit,8/29/2005,93
Lindblad Expeditions,Sea Lion,8/27/2005,93
Holland America Line,Veendam,8/2/2005,96
Royal Caribbean International,Voyager Of The Seas,8/12/2005,96
Celebrity Cruises,Celebrity Constellation,9/22/2005,100
"Crystal Cruises , Inc.",Crystal Symphony,9/21/2005,97
Royal Caribbean International,Jewel Of The Seas,9/22/2005,100
Norwegian Cruise Lines,Norwegian Jewel,9/20/2005,99
P&O Cruises,Oriana,9/24/2005,100
"Saga Shipping Company, Ltd",SagaRuby,9/12/2005,90
Seabourn Cruise Line,Seabourn Pride,9/30/2005,98
Regent Seven Seas,Seven Seas Navigator,9/24/2005,98
Silversea Cruises Ltd,Silver Whisper,9/28/2005,99
Princess Cruises,Caribbean Princess,10/18/2005,100
"Carnival Cruise Lines, Inc.",Carnival Elation,10/22/2005,99
"Carnival Cruise Lines, Inc.",Carnival Inspiration,10/15/2005,90
"Carnival Cruise Lines, Inc.",Carnival Sunshine,10/30/2005,97
Royal Caribbean International,Explorer Of The Seas,10/20/2005,95
Princess Cruises,Golden Princess,10/8/2005,98
Royal Caribbean International,Mariner Of The Seas,10/19/2005,99
Cunard Line,Queen Mary 2,10/6/2005,98
Royal Caribbean International,Radiance Of The Seas,10/15/2005,94
Princess Cruises,Sea Princess,10/31/2005,98
Princess Cruises,Star Princess,10/16/2005,98
ResidenSea,The World,10/30/2005,98
"Carnival Cruise Lines, Inc.",Carnival Conquest,11/13/2005,95
"Carnival Cruise Lines, Inc.",Carnival Imagination,11/7/2005,98
"Carnival Cruise Lines, Inc.",Carnival Legend,11/9/2005,100
"Carnival Cruise Lines, Inc.",Carnival Victory,11/13/2005,99
Celebrity Cruises,Celebrity Century,11/17/2005,99
Princess Cruises,Dawn Princess,11/20/2005,98
Disney Cruise Lines,Disney Magic,11/5/2005,96
Royal Caribbean International,Legend Of The Seas,11/19/2005,96
Royal Caribbean International,Monarch Of The Seas,11/21/2005,97
Norwegian Cruise Lines,Norwegian Sun,11/6/2005,100
Holland America Line,Oosterdam,11/5/2005,97
Princess Cruises,Sapphire Princess,11/19/2005,100
Seabourn Cruise Line,Seabourn Legend,11/20/2005,98
Sea Dream Yacht Club,Seadream I,11/20/2005,97
Princess Cruises,Sun Princess,11/8/2005,97
Holland America Line,Westerdam,11/6/2005,97
Holland America Line,Zaandam,11/21/2005,98
Royal Caribbean International,Adventure Of The Seas,12/11/2005,98
Holland America Line,Amsterdam,12/13/2005,99
P&O Cruises,Arcadia,12/2/2005,94
Royal Caribbean International,Brilliance Of The Seas,12/23/2005,98
"Carnival Cruise Lines, Inc.",Carnival Fascination,12/16/2005,98
"Carnival Cruise Lines, Inc.",Carnival Liberty,12/18/2005,99
"Carnival Cruise Lines, Inc.",Carnival Triumph,12/3/2005,97
Celebrity Cruises,Celebrity Infinity,12/10/2005,98
Celebrity Cruises,Celebrity Millennium,12/2/2005,98
Club Med Marine,Club Med 2,12/12/2005,89
Costa Crociere S.P.A.,Costa Mediterranea,12/13/2005,100
"Crystal Cruises , Inc.",Crystal Serenity,12/6/2005,100
Princess Cruises,Grand Princess,12/3/2005,93
Princess Cruises,Island Princess,12/12/2005,100
Holland America Line,Maasdam,12/7/2005,91
MSC Cruises (Mediterranean Shipping Company),MSC Lirica,12/17/2005,99
V. Ships Leisure U.S.A.,MV Explorer,12/7/2005,99
Royal Caribbean International,Navigator Of The Seas,12/17/2005,92
Holland America Line,Prinsendam,12/20/2005,88
Oceania Cruises,Regatta,12/22/2005,98
Royal Caribbean International,Rhapsody Of The Seas,12/4/2005,98
Holland America Line,Ryndam,12/7/2005,92
"Saga Shipping Company, Ltd",SagaRuby,12/23/2005,88
Silversea Cruises Ltd,Silver Whisper,12/1/2005,97
Phoenix Reissen Cruise Line,Artania,1/21/2006,92
P&O Cruises,Aurora,1/26/2006,98
"Carnival Cruise Lines, Inc.",Carnival Fantasy,1/5/2006,95
"Carnival Cruise Lines, Inc.",Carnival Miracle,1/8/2006,99
"Carnival Cruise Lines, Inc.",Carnival Pride,1/29/2006,95
Celebrity Cruises,Celebrity Constellation,1/7/2006,97
Princess Cruises,Coral Princess,1/13/2006,97
Royal Caribbean International,Enchantment Of The Seas,1/12/2006,97
V. Ships Leisure U.S.A.,MV Yorktown,1/11/2006,91
Norwegian Cruise Lines,Norwegian Dawn,1/8/2006,99
Norwegian Cruise Lines,Norwegian Jewel,1/22/2006,100
Norwegian Cruise Lines,Norwegian Star,1/28/2006,99
Seabourn Cruise Line,Seabourn Pride,1/3/2006,99
Sea Dream Yacht Club,Seadream II,1/22/2006,99
Royal Caribbean International,Vision Of The Seas,1/22/2006,99
Holland America Line,Volendam,1/9/2006,96
Royal Caribbean International,Voyager Of The Seas,1/10/2006,96
P&O Cruises,Arcadia,2/16/2006,98
"Carnival Cruise Lines, Inc.",Carnival Glory,2/25/2006,97
"Carnival Cruise Lines, Inc.",Carnival Paradise,2/14/2006,95
"Carnival Cruise Lines, Inc.",Carnival Spirit,2/12/2006,97
"Carnival Cruise Lines, Inc.",Carnival Valor,2/15/2006,96
Celebrity Cruises,Celebrity Summit,2/26/2006,94
"Crystal Cruises , Inc.",Crystal Symphony,2/18/2006,98
Disney Cruise Lines,Disney Wonder,2/5/2006,98
Royal Caribbean International,Grandeur Of The Seas,2/6/2006,96
Royal Caribbean International,Majesty Of The Seas,2/24/2006,96
Norwegian Cruise Lines,Norwegian Spirit,2/28/2006,98
Princess Cruises,Sea Princess,2/11/2006,93
Royal Caribbean International,Serenade Of The Seas,2/26/2006,100
Regent Seven Seas,Seven Seas Navigator,2/14/2006,99
Holland America Line,Zuiderdam,2/25/2006,94
Princess Cruises,Caribbean Princess,3/4/2006,99
"Carnival Cruise Lines, Inc.",Carnival Liberty,3/4/2006,94
Celebrity Cruises,Celebrity Century,3/26/2006,100
Club Med Marine,Club Med 2,3/6/2006,95
Royal Caribbean International,Explorer Of The Seas,3/7/2006,96
Princess Cruises,Golden Princess,3/26/2006,100
Royal Caribbean International,Jewel Of The Seas,3/25/2006,100
Royal Caribbean International,Legend Of The Seas,3/18/2006,96
MSC Cruises (Mediterranean Shipping Company),MSC Lirica,3/9/2006,99
Holland America Line,Noordam,3/8/2006,96
Oceania Cruises,Regatta,3/8/2006,99
Princess Cruises,Sapphire Princess,3/11/2006,99
Seabourn Cruise Line,Seabourn Legend,3/14/2006,91
Princess Cruises,Star Princess,3/19/2006,99
ResidenSea,The World,3/9/2006,97
Holland America Line,Veendam,3/18/2006,98
"Carnival Cruise Lines, Inc.",Carnival Ecstasy,4/27/2006,98
"Carnival Cruise Lines, Inc.",Carnival Inspiration,4/29/2006,92
"Carnival Cruise Lines, Inc.",Carnival Legend,4/2/2006,98
"Carnival Cruise Lines, Inc.",Carnival Sunshine,4/9/2006,97
Celebrity Cruises,Celebrity Millennium,4/12/2006,100
Costa Crociere S.P.A.,Costa Mediterranea,4/9/2006,100
Princess Cruises,Grand Princess,4/1/2006,97
Blount Small Ship Adventures,Grande Mariner,4/12/2006,89
Royal Caribbean International,Mariner Of The Seas,4/30/2006,98
Royal Caribbean International,Monarch Of The Seas,4/3/2006,93
V. Ships Leisure U.S.A.,MV Explorer,4/28/2006,98
Norwegian Cruise Lines,Norwegian Jewel,4/23/2006,97
Sea Dream Yacht Club,Seadream I,4/9/2006,92
Regent Seven Seas,Seven Seas Mariner,4/3/2006,100
Regent Seven Seas,Seven Seas Voyager,4/28/2006,93
Silversea Cruises Ltd,Silver Whisper,4/13/2006,97
Rederij Clipper Stad Amsterdam,Stad Amsterdam,4/8/2006,62
Royal Caribbean International,Vision Of The Seas,4/2/2006,96
Royal Caribbean International,Voyager Of The Seas,4/22/2006,96
Royal Caribbean International,Adventure Of The Seas,5/15/2006,95
Holland America Line,Amsterdam,5/9/2006,98
"Carnival Cruise Lines, Inc.",Carnival Conquest,5/14/2006,98
"Carnival Cruise Lines, Inc.",Carnival Fantasy,5/22/2006,96
"Carnival Cruise Lines, Inc.",Carnival Sensation,5/11/2006,94
"Carnival Cruise Lines, Inc.",Carnival Victory,5/18/2006,99
Princess Cruises,Dawn Princess,5/29/2006,95
Princess Cruises,Diamond Princess,5/16/2006,96
Disney Cruise Lines,Disney Magic,5/17/2006,98
